연도,유형구분,세부유형,시도,행정구,학교명,본분교,학교상태,설립,남여공학,우편번호,도로명주소,연락처,팩스번호,홈페이지,
2016,자율고,일반고등학교,서울,중구,성동고등학교,본교,기존(원)교,공립,남자,045-79 ,서울특별시 중구 퇴계로90길 17 (신당동),02-2237-2412,02-2237-5748,http://www.sungdong.hs.kr,
2016,특성화고(직업),공업고등학교,서울,중구,성동공업고등학교,본교,기존(원)교,공립,남여공학,045-71 ,서울특별시 중구 다산로 290 (흥인동),070-868-5760,02-2234-1950,http://www.sdth.hs.kr,
2016,특성화고(직업),상업고등학교,서울,중구,성동글로벌경영고등학교,본교,기존(원)교,공립,여자,045-66 ,서울특별시 중구 퇴계로 375 (신당동),02-2252-1932,02-2235-7150,http://www.sdglobal.hs.kr,
2016,자율고,일반고등학교,서울,중구,이화여자고등학교,본교,기존(원)교,사립,여자,045-16 ,서울특별시 중구 정동길 26 . 이화여자고등학교 (정동.심슨기념관),02-2175-1905,02-319-0669,http://www.ewha.hs.kr,
2016,특목고,외국어고등학교,서울,중구,이화여자외국어고등학교,본교,기존(원)교,사립,여자,045-16 ,서울특별시 중구 통일로4길 30 . 이화여자외국어고등학교 (순화동),02-2176-1992,02-2176-1993,http://www.ewha-gfh.hs.kr,
2016,일반고,일반고등학교,서울,중구,장충고등학교,본교,기존(원)교,사립,남자,046-03 ,서울특별시 중구 동호로15길 93 장충고등학교,02-2233-9990,02-2238-6660,http://www.jangchung.hs.kr,
2016,특성화고(직업),공업고등학교,서울,중구,한양공업고등학교,본교,기존(원)교,사립,남자,045-66 ,서울특별시 중구 을지로 299 . 한양공업고등학교 (신당동),02-2238-5181,02-2235-3154,http://www.hanyang.hs.kr,
2016,일반고,일반고등학교,서울,중구,환일고등학교,본교,기존(원)교,사립,남자,045-00 ,서울특별시 중구 환일길 47 . 환일고등학교 (만리동2가),02-390-7203,02-363-5200,http://hwanil.hs.kr,
2016,일반고,일반고등학교,서울,용산구,배문고등학교,본교,기존(원)교,사립,남자,043-05 ,서울특별시 용산구 효창원로 258 (서계동. 배문중.고등학교),02-3480-7100,02-714-0062,http://baemoon.cschool.net,
2016,일반고,일반고등학교,서울,용산구,보성여자고등학교,본교,기존(원)교,사립,여자,043-38 ,서울특별시 용산구 신흥로3가길 66 . 보성여자고등학교 (용산동2가),070-4000-3139,02-798-4471,http://www.bosung.hs.kr,
2016,특성화고(직업),공업고등학교,서울,용산구,서울디지텍고등학교,본교,기존(원)교,사립,남여공학,043-46 ,서울특별시 용산구 회나무로12길 27 . 서울디지텍고등학교 (이태원동),02-798-3641,02-794-0822,http://www.sdh.hs.kr,
2016,특성화고(직업),상업고등학교,서울,용산구,선린인터넷고등학교,본교,기존(원)교,공립,남여공학,043-14 ,서울특별시 용산구 원효로97길 33-4 (청파동3가.선린인터넷고등학교),02-713-6211,02-704-0960,http://www.sunrint.hs.kr,
2016,일반고,일반고등학교,서울,용산구,성심여자고등학교,본교,기존(원)교,사립,여자,043-61 ,서울특별시 용산구 원효로19길 49 . 성심여자고등학교 (원효로4가),02-702-5501,02-711-6887,http://sacredheart.hs.kr,
2016,일반고,일반고등학교,서울,용산구,신광여자고등학교,본교,기존(원)교,사립,여자,043-13 ,서울특별시 용산구 청파로 263 . 학교법인신광학원 (청파동3가),02-710-6900,02-703-7910,http://www.shinkwang.hs.kr,
2016,일반고,일반고등학교,서울,용산구,오산고등학교,본교,기존(원)교,사립,남자,043-96 ,서울특별시 용산구 보광로7길 17 . 오산고등학교 (보광동),02-799-9603,02-799-9699,http://www.osan.hs.kr,
2016,일반고,일반고등학교,서울,용산구,용산고등학교,본교,기존(원)교,공립,남자,043-53 ,서울특별시 용산구 두텁바위로 60 용산고등학교 (용산동2가),02-3706-6700,02-318-4439,http://www.yongsan.hs.kr,
2016,특성화고(직업),공업고등학교,서울,용산구,용산공업고등학교,본교,기존(원)교,공립,남여공학,043-88 ,서울특별시 용산구 서빙고로 24 . 용산공업고등학교 (한강로3가),02-6905-7874,02-6905-7890,http://www.yongsan-th.hs.kr,
2016,자율고,일반고등학교,서울,용산구,중경고등학교,본교,기존(원)교,공립,남여공학,044-26 ,서울특별시 용산구 이촌로84길 34 . 이촌1동 300-201 (이촌동),02-793-4154,02-796-5727,http://jungkyung.hs.kr,
2016,자율고,일반고등학교,서울,성동구,경일고등학교,본교,기존(원)교,공립,남여공학,047-79 ,서울특별시 성동구 성수일로 27 경일고등학교 (성수동1가.경일 중.고등학교),070-4099-7000,02-463-4072,www.seoulkyungil.hs.kr,
2016,특성화고(직업),상업고등학교,서울,성동구,덕수고등학교,본교,기존(원)교,공립,남여공학,047-64 ,서울특별시 성동구 왕십리로 199 . 덕수고등학교 (행당동),02-2292-5707,02-2299-0703,http://www.duksoo.hs.kr,
2016,일반고,일반고등학교,서울,성동구,무학여자고등학교,본교,기존(원)교,공립,여자,047-16 ,서울특별시 성동구 고산자로 197 무학여자고등학교,02-2200-1710,02-2299-5065,http://www.muhak.hs.kr,
2016,특성화고(직업),공업고등학교,서울,성동구,서울방송고등학교,본교,기존(원)교,공립,남여공학,047-31 ,서울특별시 성동구 동호로5길 131 (옥수동),02-2281-0091,02-2281-0095,http://www.seb.hs.kr,
2016,일반고,일반고등학교,서울,성동구,성수고등학교,본교,기존(원)교,공립,남여공학,047-68 ,서울특별시 성동구 서울숲길 18 . 성수고등학교 (성수동1가),02-461-2276,02-461-3346,http://seoulseongsu.hs.kr,
2016,특성화고(직업),공업고등학교,서울,성동구,성수공업고등학교,본교,기존(원)교,공립,남여공학,047-80 ,서울특별시 성동구 뚝섬로 365 (성수동2가),02-3409-0944,02-3409-0945,http://www.sungsu.hs.kr,
2016,자율고,일반고등학교,서울,성동구,한양대학교사범대학부속고등학교,본교,기존(원)교,사립,남여공학,047-61 ,서울특별시 성동구 마조로 42 . 한양대학교사범대학부속고등학교 (사근동),02-2200-3505,02-2298-3173,http://www.hanyang-u.hs.kr,
2016,일반고,일반고등학교,서울,광진구,건국대학교사범대학부속고등학교,본교,기존(원)교,사립,남여공학,050-29 ,서울특별시 광진구 능동로 120 . 건국대학교사범대학부속고등학교 (화양동),02-446-9082,02-456-0646,http://www.konkuk.hs.kr,
2016,일반고,일반고등학교,서울,광진구,광남고등학교,본교,기존(원)교,공립,남여공학,049-73 ,서울특별시 광진구 아차산로70길 17-16 . 광남고등학교 (광장동),02-2204-8862,02-458-7043,http://www.gwang-nam.hs.kr,
2016,자율고,일반고등학교,서울,광진구,광양고등학교,본교,기존(원)교,공립,남여공학,051-04 ,서울특별시 광진구 자양로3가길 31 (자양동. 광양고등학교),02-446-1435,02-458-9715,http://www.gwangyang.hs.kr,
2016,일반고,일반고등학교,서울,광진구,대원고등학교,본교,기존(원)교,사립,남자,049-39 ,서울특별시 광진구 용마산로22길 26 . 대원고등학교 (중곡동),02-2204-1569,02-2204-1577,http://daewon-seoul.hs.kr,
2016,일반고,일반고등학교,서울,광진구,대원여자고등학교,본교,기존(원)교,사립,여자,049-39 ,서울특별시 광진구 용마산로22길 26 . 대원여자고등학교 (중곡동),02-2204-1620,02-2204-1623,http://www.dwg.hs.kr,
2016,특목고,외국어고등학교,서울,광진구,대원외국어고등학교,본교,기존(원)교,사립,남여공학,049-39 ,서울특별시 광진구 용마산로22길 26 . 대원외국어고등학교 (중곡동),02-2204-1530,02-2204-1537,http://www.dwfl.hs.kr/,
2016,일반고,일반고등학교,서울,광진구,동국대학교사범대학부속여자고등학교,본교,기존(원)교,사립,여자,050-38 ,서울특별시 광진구 광나루로36길 47 (구의동.동국대학교사범대학부속여자중고등학교),02-2049-1566,02-2049-1588,http://donggukgirls.hs.kr,
2016,특목고,예술고등학교,서울,광진구,선화예술고등학교,본교,기존(원)교,사립,남여공학,049-91 ,서울특별시 광진구 천호대로 664 (능동),02-2204-1310,02-458-4582,http://www.sunhwa.org,
2016,일반고,일반고등학교,서울,광진구,자양고등학교,본교,기존(원)교,공립,남여공학,050-69 ,서울특별시 광진구 뚝섬로37길 28 (자양동.자양고등학교),02-2049-4109,02-2049-4288,http://www.jayang.hs.kr,
2016,자율고,일반고등학교,서울,동대문구,경희고등학교,본교,기존(원)교,사립,남자,024-47 ,서울특별시 동대문구 경희대로 26 . 경희고등학교 (회기동),02-966-3782,02-962-3643,http://www.kyungheeboy.hs.kr/,
2016,일반고,일반고등학교,서울,동대문구,경희여자고등학교,본교,기존(원)교,사립,여자,024-47 ,서울특별시 동대문구 경희대로 26 . 경희여자고등학교  (회기동.경희대학교),02-966-1248,02-967-2429,www.kyunghee.hs.kr,
2016,자율고,일반고등학교,서울,동대문구,대광고등학교,본교,기존(원)교,사립,남자,025-81 ,서울특별시 동대문구 안암로 6 . 대광고등학교 (신설동),02-940-2202,02-940-2212,http://www.dgh.hs.kr,
2016,일반고,일반고등학교,서울,동대문구,동국대학교사범대학부속고등학교,본교,기존(원)교,사립,남자,025-20 ,서울특별시 동대문구 장안벚꽃로 201 . 동국대학교사범대학부속고등학교 (장안동),02-6913-1578,02-6913-1588,http://www.ddbk.net,
2016,특성화고(직업),상업고등학교,서울,동대문구,정화여자상업고등학교,본교,기존(원)교,사립,여자,024-80 ,서울특별시 동대문구 홍릉로15길 50 정화여자상업고등학교 (제기동),02-967-0178,02-969-0693,http://www.jeonghwa.hs.kr,
2016,자율고,일반고등학교,서울,동대문구,청량고등학교,본교,기존(원)교,공립,남여공학,024-61 ,서울특별시 동대문구 왕산로 303 (청량리동.청량고등학교),02-959-4362,02-959-1887,http://www.chungryang.hs.kr,
2016,특성화고(직업),상업고등학교,서울,동대문구,해성국제컨벤션고등학교,본교,기존(원)교,사립,여자,025-05 ,서울특별시 동대문구 전농로20길 31 . 해성국제컨벤션고등학교 (전농동),070-8786-1313,02-2214-1958,http://www.haesung.hs.kr,
2016,일반고,일반고등학교,서울,동대문구,해성여자고등학교,본교,기존(원)교,사립,여자,025-05 ,서울특별시 동대문구 전농로20길 31 (전농동.해성여자고등학교),070-8786-1313,02-2214-1958,http://www.haesung-g.hs.kr,
2016,특성화고(직업),공업고등학교,서울,동대문구,휘경공업고등학교,본교,기존(원)교,공립,남여공학,025-11 ,서울특별시 동대문구 겸재로 21 (휘경동),02-2216-3643,02-2216-3649,www.hgt.hs.kr,
2016,일반고,일반고등학교,서울,동대문구,휘경여자고등학교,본교,기존(원)교,사립,여자,025-03 ,서울특별시 동대문구 한천로 247 . 휘경여자고등학교 (휘경동),02-2211-3356,02-2213-2803,http://hwikyung.hs.kr,
2016,일반고,일반고등학교,서울,동대문구,휘봉고등학교,본교,기존(원)교,공립,남여공학,025-11 ,서울특별시 동대문구 한천로 290 (휘경동),02-2116-7211,02-2249-7121,http://hwibong.hs.kr,
2016,자율고,일반고등학교,서울,중랑구,면목고등학교,본교,기존(원)교,공립,남자,021-93 ,서울특별시 중랑구 용마산로72길 36-14 (면목동),02-435-0003,02-435-0774,http://www.mmhs.hs.kr,
2016,일반고,일반고등학교,서울,중랑구,송곡고등학교,본교,기존(원)교,사립,남자,020-62 ,서울특별시 중랑구 양원역로 50 (망우동),070-4327-5604,02-437-3093,http://www.sg.hs.kr,
2016,특성화고(직업),상업고등학교,서울,중랑구,송곡관광고등학교,본교,기존(원)교,사립,여자,020-57 ,서울특별시 중랑구 양원역로 67 . 송곡관광고등학교 (망우동),070-7124-3602,02-433-2183,http://www.sgi.hs.kr,
2016,일반고,일반고등학교,서울,중랑구,송곡여자고등학교,본교,기존(원)교,사립,여자,020-57 ,서울특별시 중랑구 양원역로 67 . 송곡여자고등학교 (망우동),070-7124-3607,02-438-8508,http://www.songgok.hs.kr,
2016,일반고,일반고등학교,서울,중랑구,신현고등학교,본교,기존(원)교,공립,남여공학,020-75 ,서울특별시 중랑구 봉화산로 174 . 신현고등학교 (상봉동),02-3422-2715,02-3422-2716,http://www.shinhyeon.hs.kr,
2016,자율고,일반고등학교,서울,중랑구,원묵고등학교,본교,기존(원)교,공립,남여공학,020-41 ,서울특별시 중랑구 숙선옹주로 82 (묵동),070-4020-6205,02-3422-4838,http://wonmook.hs.kr,
2016,특성화고(직업),상업고등학교,서울,중랑구,이화여자대학교병설미디어고등학교,본교,기존(원)교,사립,여자,020-61 ,서울특별시 중랑구 망우로73길 56 (망우동.이화여대병설미디어고등학교  영란여중),02-2209-0142,02-438-1549,http://www.ewhamedia.hs.kr,
2016,일반고,일반고등학교,서울,중랑구,중화고등학교,본교,기존(원)교,공립,남여공학,020-47 ,서울특별시 중랑구 봉화산로27길 62 . 중화고등학교 (중화동),02-491-6807,02-438-9762,http://www.jung-hwa.hs.kr,
2016,일반고,일반고등학교,서울,중랑구,태릉고등학교,본교,기존(원)교,공립,남여공학,020-21 ,서울특별시 중랑구 신내로23길 36 . 태릉고등학교 (묵동),02-974-6251,02-977-6744,http://www.taereung.hs.kr,
2016,일반고,일반고등학교,서울,중랑구,혜원여자고등학교,본교,기존(원)교,사립,여자,021-74 ,서울특별시 중랑구 봉우재로58길 39 (망우동),02-434-6969,02-437-6687,http://www.hyewon.hs.kr,
2016,자율고,일반고등학교,서울,성북구,경동고등학교,본교,기존(원)교,공립,남자,028-70 ,서울특별시 성북구 보문로29길 49 . 경동고등학교 (삼선동3가),02-928-2077,02-926-7525,www.kyungdong.hs.kr,
2016,일반고,일반고등학교,서울,성북구,계성고등학교,본교,기존(원)교,사립,남여공학,027-20 ,서울특별시 성북구 길음로 63 계성고등학교 (길음동),02-728-6116,02-776-7086,http://gyeseong.hs.kr,
2016,일반고,일반고등학교,서울,성북구,고려대학교사범대학부속고등학교,본교,기존(원)교,사립,남자,027-08 ,서울특별시 성북구 정릉로 161 (정릉동),02-914-7483,02-942-0732,http://koreahi.hs.kr,
2016,특성화고(직업),상업고등학교,서울,성북구,고명경영고등학교,본교,기존(원)교,사립,남여공학,028-28 ,서울특별시 성북구 북악산로 870 . 고명경영고 (돈암동),02-928-2886,02-927-1738,http://www.komyung.hs.kr,
2016,특성화고(직업),상업고등학교,서울,성북구,대일관광고등학교,본교,기존(원)교,사립,여자,027-13 ,서울특별시 성북구 서경로 118 (정릉동),02-940-7373,02-941-0317,http://www.daeil-tour.hs.kr,
2016,특목고,외국어고등학교,서울,성북구,대일외국어고등학교,본교,기존(원)교,사립,남여공학,027-13 ,서울특별시 성북구 서경로 116 . 대일외국어고등학교 (정릉동),02-940-0700,02-918-3169,www.daeil.or.kr,
2016,특성화고(직업),상업고등학교,서울,성북구,동구마케팅고등학교,본교,기존(원)교,사립,여자,028-34 ,서울특별시 성북구 성북로8길 71 . 동구마케팅고등학교 (성북동),02-762-1301,02-747-6525,http://donggoo.hs.kr,
2016,일반고,일반고등학교,서울,성북구,서울대학교사범대학부설고등학교,본교,기존(원)교,국립,남여공학,027-95 ,서울특별시 성북구 월곡로6 (종암동)서울대학교사범대학부설고등학교,02-942-1960,02-919-5275,www.snu.hs.kr,
2016,특목고,공업고등학교,서울,성북구,서울도시과학기술고등학교,본교,기존(원)교,공립,남여공학,027-36 ,서울특별시 성북구 종암로 196 . 서울도시과학기술고등학교 (하월곡동),02-940-2503,02-919-8824,http://www.sust.hs.kr,
2016,일반고,일반고등학교,서울,성북구,석관고등학교,본교,기존(원)교,공립,남여공학,027-82 ,서울특별시 성북구 한천로70길 30 . 석관고등학교 (석관동),02-958-1165,02-962-5364,http://www.seokgwan.hs.kr,
2016,일반고,일반고등학교,서울,성북구,성신여자고등학교,본교,기존(원)교,사립,여자,028-40 ,서울특별시 성북구 동소문로26가길 80 (돈암동.성신여자고등학교),02-6930-9114,02-924-0540,http://www.sungshin.hs.kr,
2016,일반고,일반고등학교,서울,성북구,용문고등학교,본교,기존(원)교,사립,남자,028-43 ,서울특별시 성북구 인촌로17가길 46 (안암동2가),02-928-3871,02-927-0860,http://www.ymoon.hs.kr/,
2016,일반고,일반고등학교,서울,성북구,한성여자고등학교,본교,기존(원)교,사립,여자,028-76 ,서울특별시 성북구 삼선교로16길 117 . 한성여자고등학교 (삼선동2가),02-742-2845,02-743-8182,http://www.hansung-g.hs.kr,
2016,일반고,일반고등학교,서울,성북구,홍익대학교사범대학부속고등학교,본교,기존(원)교,사립,남자,028-35 ,서울특별시 성북구 성북로14가길 23 (성북동) 홍익대학교부속고등학교,02-762-0826,02-765-4549,http://www.hongik.hs.kr,
2016,자율고,일반고등학교,서울,강북구,미양고등학교,본교,기존(원)교,공립,남여공학,011-90 ,서울특별시 강북구 인수봉로 39 . 미양고등학교 (미아동),070-7493-3821,02-982-6106,http://mi-yang.hs.kr,
2016,일반고,일반고등학교,서울,강북구,삼각산고등학교,본교,기존(원)교,공립,남여공학,011-99 ,서울특별시 강북구 삼양로19길 40 (미아동),070-7525-2200,02-989-6930,http://samgaksan.hs.kr,
2016,특성화고(직업),상업고등학교,서울,강북구,성암국제무역고등학교,본교,기존(원)교,사립,여자,011-74 ,서울특별시 강북구 도봉로29길 52 (미아동. 성암국제무역고등학교),02-2179-1717,02-985-5399,http://www.seongam.hs.kr,
2016,자율고,일반고등학교,서울,강북구,신일고등학교,본교,기존(원)교,사립,남자,011-33 ,서울특별시 강북구 솔매로49길 20 (미아동),02-989-4151,02-986-9565,http://www.shin-il.hs.kr,
2016,일반고,일반고등학교,서울,강북구,영훈고등학교,본교,기존(원)교,사립,남여공학,012-11 ,서울특별시 강북구 도봉로13가길 19 (미아동. 학교법인 영훈학원),02-944-7901,02-945-8266,http://www.younghoon.hs.kr,
2016,일반고,일반고등학교,서울,강북구,창문여자고등학교,본교,기존(원)교,사립,여자,012-37 ,서울특별시 강북구 월계로 61 (미아동),070-7457-7003,02-985-1316,http://www.changmun.hs.kr,
2016,일반고,일반고등학교,서울,강북구,혜화여자고등학교,본교,기존(원)교,공립,여자,010-95 ,서울특별시 강북구 인수봉로 127 . 혜화여자고등학교 (수유동),02-987-8342,02-987-8343,http://hyehwa-h.hs.kr,
2016,일반고,일반고등학교,서울,도봉구,누원고등학교,본교,기존(원)교,공립,남여공학,013-18 ,서울특별시 도봉구 마들로 849 (도봉동.누원고등학교),02-3492-7594,02-3492-7596,http://www.noowon.hs.kr,
2016,일반고,일반고등학교,서울,도봉구,도봉고등학교,본교,기존(원)교,공립,남여공학,013-02 ,서울특별시 도봉구 도봉산길 27 . 도봉고등학교 (도봉동),02-3491-4283,02-3491-4287,http://db2004.hs.kr,
2016,특성화고(직업),상업고등학교,서울,도봉구,서울문화고등학교,본교,기존(원)교,공립,남여공학,013-38 ,서울특별시 도봉구 마들로 598 (방학동.서울문화고등학교),070-7603-7138,02-3491-7697,http://www.seoulculture.hs.kr,
2016,특목고,외국어고등학교,서울,도봉구,서울외국어고등학교,본교,기존(원)교,사립,남여공학,014-89 ,서울특별시 도봉구 덕릉로66길 22 (창동.서울외국어고등학교),070-7602-3401,02-994-2435,http://www.sfl.hs.kr,
2016,자율고,일반고등학교,서울,도봉구,선덕고등학교,본교,기존(원)교,사립,남자,013-75 ,서울특별시 도봉구 시루봉로 53 선덕고둥학교 (쌍문동),02-993-1232,02-994-1797,http://www.sunduck.hs.kr,
2016,특성화고(직업),실업고등학교,서울,도봉구,세그루패션디자인고등학교,본교,기존(원)교,사립,여자,013-75 ,서울특별시 도봉구 시루봉로 53 (쌍문동.동북초등학교),02-993-0114,02-998-7913,http://www.sfd.hs.kr,
2016,일반고,일반고등학교,서울,도봉구,자운고등학교,본교,기존(원)교,공립,남여공학,014-12 ,서울특별시 도봉구 노해로69길 150 . 자운고등학교 (창동),02-998-2929,02-998-2942,http://jawoon.hs.kr,
2016,일반고,일반고등학교,서울,도봉구,정의여자고등학교,본교,기존(원)교,사립,여자,014-38 ,서울특별시 도봉구 노해로49길 69 (쌍문동),02-992-5104,02-991-0876,http://jeongeui.hs.kr,
2016,일반고,일반고등학교,서울,도봉구,창동고등학교,본교,기존(원)교,공립,남여공학,014-83 ,서울특별시 도봉구 노해로62길 7 (창동),070-4377-3607,02-994-7622,http://changdong.hs.kr,
2016,일반고,일반고등학교,서울,도봉구,효문고등학교,본교,기존(원)교,공립,남여공학,013-72 ,서울특별시 도봉구 우이천로 432 (쌍문동.효문중 고등학교),02-992-0778,02-992-0528,http://www.hyomun.hs.kr,
2016,특성화고(직업),공업고등학교,서울,노원구,경기기계공업고등학교,본교,기존(원)교,공립,남여공학,018-10 ,서울특별시 노원구 공릉로 264 (하계동.경기기계공업고등학교),070-7602-1609,02-978-4327,http://www.ggmt.hs.kr,
2016,특성화고(직업),공업고등학교,서울,노원구,광운전자공업고등학교,본교,기존(원)교,사립,남자,018-90 ,서울특별시 노원구 광운로1길 24 (월계동),02-918-7761,02-917-5091,http://www.kwangwoon.hs.kr/,
2016,일반고,일반고등학교,서울,노원구,노원고등학교,본교,기존(원)교,공립,남여공학,016-75 ,서울특별시 노원구 노원로 586 (상계동),02-937-0079,02-952-4087,http://www.nowon.hs.kr,
2016,일반고,일반고등학교,서울,노원구,대진고등학교,본교,기존(원)교,사립,남자,018-07 ,서울특별시 노원구 공릉로62가길 47 . 대진고 (하계동),02-976-0067,02-971-6085,http://www.dae-jin.hs.kr,
2016,일반고,일반고등학교,서울,노원구,대진여자고등학교,본교,기존(원)교,사립,여자,017-85 ,서울특별시 노원구 공릉로 438 (중계동.대진여자고등학교),02-979-2327,02-948-3951,http://www.daejinw.hs.kr,
2016,특성화고(직업),상업고등학교,서울,노원구,동산정보산업고등학교,본교,기존(원)교,사립,남여공학,018-32 ,서울특별시 노원구 공릉로 257 (공릉동.동산정보산업고등학교),02-971-0903,02-973-3052,http://www.seouldongsan.hs.kr,
2016,특성화고(직업),공업고등학교,서울,노원구,미래산업과학고등학교,본교,기존(원)교,사립,남여공학,017-17 ,서울특별시 노원구 덕릉로82길 54 (중계동),02-933-7671,02-933-7855,http://www.mist.hs.kr,
2016,일반고,일반고등학교,서울,노원구,불암고등학교,본교,기존(원)교,공립,남여공학,017-36 ,서울특별시 노원구 중계로 155 (중계동),02-3399-7252,02-935-1700,http://www.buram.hs.kr,
2016,일반고,일반고등학교,서울,노원구,상계고등학교,본교,기존(원)교,공립,남자,017-61 ,서울특별시 노원구 노해로 432 (상계동),070-867-8260,02-933-9795,http://www.sanggye.hs.kr,
2016,일반고,일반고등학교,서울,노원구,상명고등학교,본교,기존(원)교,사립,남여공학,017-58 ,서울특별시 노원구 덕릉로 553 . 상명고등학교 (중계동),02-971-6211,02-971-6216,http://www.sangmyung.hs.kr,
2016,일반고,일반고등학교,서울,노원구,서라벌고등학교,본교,기존(원)교,사립,남자,017-45 ,서울특별시 노원구 한글비석로5길 18 (중계1동 313. 서라벌고등학교),02-2092-2285,02-2092-2270,http://www.sorabol.hs.kr,
2016,특성화고(직업),공업고등학교,서울,노원구,서울아이티고등학교,본교,기존(원)교,사립,남여공학,017-73 ,서울특별시 노원구 섬밭로 299 . 서울아이티고등학교 (중계동),070-7606-4812,02-977-8269,http://www.seoulit.hs.kr,
2016,자율고,일반고등학교,서울,노원구,수락고등학교,본교,기존(원)교,공립,남여공학,016-02 ,서울특별시 노원구 동일로245길 143 (상계동.수락고등학교),070-867-7211,02-935-1460,http://www.surak.net,
2016,일반고,일반고등학교,서울,노원구,염광고등학교,본교,기존(원)교,사립,남여공학,018-74 ,서울특별시 노원구 월계로45가길 9 . 염광고등학교 (월계동),02-994-0121,02-994-0122,http://yumkwang.hs.kr,
